service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
33276,1,1,1,1,0,0,0,20170810,20200810
33277,0,0,0,0,1,0,0,20170810,20200810
33278,0,0,0,0,0,1,0,20170810,20200810
33279,0,0,0,0,0,0,1,20170810,20200810
AAAAA,1,0,0,0,0,0,0,20180903,20180903
BBBBB,1,0,0,0,0,0,0,20181021,20181021
CCCCC,0,0,0,1,0,0,0,20181122,20181122
DDDDD,0,1,0,0,0,0,0,20181225,20181225
EEEEE,1,0,0,0,0,0,0,20181231,20181231
FFFFF,0,1,0,0,0,0,0,20190101,20190101
GGGGG,1,0,0,0,0,0,0,20190902,20190902
HHHHH,0,0,0,1,0,0,0,20191128,20191128
IIIII,0,0,1,0,0,0,0,20191225,20191225
JJJJJ,0,1,0,0,0,0,0,20191231,20191231
KKKKK,0,0,1,0,0,0,0,20200101,20200101
LLLLL,0,0,0,0,0,0,1,20180722,20180722
MMMMM,0,0,0,0,0,0,1,20180729,20180729
NNNNN,0,0,0,0,0,0,1,20180708,20180708
