service_id,date,exception_type
33276,20180903,2
AAAAA,20180903,1
33276,20181021,2
BBBBB,20181021,1
33276,20181122,2
CCCCC,20181122,1
33276,20181225,2
DDDDD,20181225,1
33276,20181231,2
EEEEE,20181231,1
33276,20190101,2
FFFFF,20190101,1
33276,20190902,2
GGGGG,20190902,1
33276,20191128,2
HHHHH,20191128,1
33276,20191225,2
IIIII,20191225,1
33276,20191231,2
JJJJJ,20191231,1
33276,20200101,2
KKKKK,20200101,1
33279,20180722,2
LLLLL,20180722,1
33279,20180729,2
MMMMM,20180729,1
33279,20180708,2
NNNNN,20180708,1
