trip_id,start_time,end_time,headway_secs,exact_times
2139017,06:30:00,24:00:00,236,1
2139018,06:30:00,26:00:00,256,1 
2139019,09:00:00,26:00:00,256,1
2139020,12:00:00,24:00:00,256,1
aaaaaaa,10:00:00,24:00:00,236,1
bbbbbbb,05:00:00,24:00:00,256,1
ccccccc,06:00:00,19:00:00,236,1
ddddddd,00:00:00,00:00:01,236,1
eeeeeee,10:00:00,27:00:00,236,1
fffffff,12:00:00,24:00:00,236,1
ggggggg,10:00:00,24:00:00,236,1
hhhhhhh,06:00:00,19:00:00,236,1
iiiiiii,00:00:00,00:00:01,236,1
jjjjjjj,10:00:00,27:00:00,236,1
kkkkkkk,12:00:00,24:00:00,236,1
lllllll,11:00:00,24:00:00,236,1
mmmmmmm,06:00:00,24:00:00,236,1
nnnnnnn,11:00:00,24:00:00,236,1
