pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
1,101,103,1,1,,,,,,,
2,103,104,5,1,,,,,,,
3,104,100,1,1,,,,,,,
4,100,102,2,0,,,,,,,
5,201,203,1,1,,,,,,,
6,204,200,1,1,,,,,,,
7,204,203,5,1,,,,,,,
8,200,202,2,0,,,,,,,
9,301,303,1,1,,,,,,,
10,303,304,5,1,,,,,,,
11,304,300,1,1,,,,,,,
12,300,302,2,0,,,,,,,
13,402,407,1,1,,,,,,,
14,407,408,5,1,,,,,,,
15,408,409,5,1,,,,,,,
16,409,400,1,1,,,,,,,
17,408,410,1,1,,,,,,,
18,410,413,1,1,,,,,,,
19,410,411,5,1,,,,,,,
20,413,412,5,1,,,,,,,
21,405,408,1,1,,,,,,,
22,405,410,1,1,,,,,,Detroit People Mover,
23,405,413,1,1,,,,,,,
24,406,408,1,1,,,,,,,
25,406,410,1,1,,,,,,Detroit People Mover,
26,406,413,1,1,,,,,,,
27,401,412,1,1,,,,,,,
28,410,404,1,0,,,,,,,
29,408,403,1,0,,,,,,,
30,408,404,1,0,,,,,,,
31,410,403,1,0,,,,,,,
32,413,403,1,0,,,,,,,
33,413,404,1,0,,,,,,,
34,411,400,1,1,,,,,,Detroit People Mover,
35,501,502,1,1,,,,,,,
36,502,503,5,1,,,,,,,
37,503,500,1,1,,,,,,,
38,601,603,1,1,,,,,,,
39,603,604,5,1,,,,,,,
40,604,600,1,1,,,,,,,
41,600,602,2,0,,,,,,,
42,701,704,1,1,,,,,,,
43,702,704,1,1,,,,,,,
44,703,704,1,1,,,,,,,
45,704,705,5,1,,,,,,,
46,705,700,1,1,,,,,,,
47,804,805,5,1,,,,,,,
48,805,800,1,1,,,,,,,
49,801,802,1,1,,,,,,,
50,802,803,5,1,,,,,,,
51,803,804,1,1,,,,,,,
52,901,903,1,1,,,,,,,
53,903,904,5,1,,,,,,,
54,904,900,1,1,,,,,,,
55,900,902,2,0,,,,,,,
56,1001,1003,1,1,,,,,,,
57,1003,1004,5,1,,,,,,,
58,1004,1000,1,1,,,,,,,
59,1000,1002,2,0,,,,,,,
60,1101,1103,1,1,,,,,,,
61,1103,1104,5,1,,,,,,,
62,1104,1100,1,1,,,,,,,
63,1100,1102,2,0,,,,,,,
64,1201,1203,1,1,,,,,,,
65,1203,1204,5,1,,,,,,,
66,1204,1200,1,1,,,,,,,
67,1200,1202,2,0,,,,,,,
68,1301,1303,1,1,,,,,,,
69,1303,1304,5,1,,,,,,,
70,1304,1300,1,1,,,,,,,
71,1300,1302,2,0,,,,,,,
