stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id
1,,Times Square,,42.33357857,-83.05215904,,1,,,1,
100,,Times Square,,42.33357857,-83.05215904,,0,1,,1,101
101,,Times Square Entrance,,42.33359419,-83.05190366,,2,1,,0,100
102,,Times Square Exit,,42.33376122,-83.05206133,,2,1,,2,100
103,,Times Square Elevator,,42.33352569,-83.05204010,,3,1,,,100
104,,Times Square Elevator,,42.33352569,-83.05204010,,3,1,,,101
2,,Michigan,,42.33136301,-83.0521199,,1,,,1,
200,,Michigan,,42.33136301,-83.0521199,,0,2,,1,201
201,,Michigan Entrance,,42.33146385,-83.05215093,,2,2,,0,200
202,,Michigan Exit,,42.33124002,-83.05208720,,2,2,,2,200
203,,Michigan Elevator,,42.33143383,-83.05206705,,3,2,,,200
204,,Michigan Elevator,,42.33143383,-83.05206705,,3,2,,,201
3,,Fort/Cass,,42.32950516,-83.05115031,,1,,,1,
300,,Fort/Cass,,42.32950516,-83.05115031,,0,3,,1,301
301,,Fort/Cass Entrance,,42.32941524,-83.05103222,,2,3,,1,300
302,,Fort/Cass Exit,,42.32963813,-83.05116015,,2,3,,2,300
303,,Fort/Cass Elevator,,42.32943547,-83.05112664,,3,3,,,300
304,,Fort/Cass Elevator,,42.32943547,-83.05112664,,3,3,,,301
4,,Huntington Place,,42.32821152,-83.04984632,,1,,,1,
400,,Huntington Place,,42.32821152,-83.04984632,,0,4,,1,403
401,,Huntington Place Riverfront Atrium Entrance,,42.32570051,-83.04734756,,2,4,,1,401
402,,Huntington Place Congress Garage Entrance,,42.32840611,-83.04986701,,2,4,,1,400
403,,Huntington Place North Washington Hall A Exit,,42.32816232,-83.04905685,,2,4,,2,402
404,,Huntington Place North Washington Hall B Exit,,42.32744556,-83.04849597,,2,4,,2,402
405,,Huntington Place South Washington Entrance,,42.32711243,-83.04815223,,2,4,,0,402
406,,Huntington Place West Jefferson Entrance,,42.32660821,-83.04775835,,2,4,,1,402
407,,Huntington Place Elevator,,42.32811426,-83.04945902,,3,4,,,400
408,,Huntington Place Elevator,,42.32811426,-83.04945902,,3,4,,,402
409,,Huntington Place Elevator,,42.32811426,-83.04945902,,3,4,,,403
410,,Huntington Place Elevator,,42.32762744,-83.04909290,,3,4,,,402
411,,Huntington Place Elevator,,42.32762744,-83.04909290,,3,4,,,403
